"","date","hour","power"
"1017",20170212,8,0.25
"1018",20170212,9,1
"1019",20170212,10,1.55
"1020",20170212,11,3.4
"1021",20170212,12,4.15
"1022",20170212,13,5
"1023",20170212,14,5.39285714285714
"1024",20170212,15,5.08823529411765
"1025",20170212,16,3.8
"1026",20170212,17,1.55
"1027",20170212,18,0.75
"1028",20170212,19,1
"1029",20170212,20,1
"1030",20170212,21,0.9
"1031",20170212,22,0.6
"1032",20170212,23,2.2
"1033",20170213,0,2.9
"1034",20170213,1,2.3
"1035",20170213,2,0.1
"1036",20170213,3,0.75
"1037",20170213,4,1
"1038",20170213,5,0.75
"1039",20170213,6,1.1
