"","shipID","work_time","start_time","end_time","date","moving_time","status","port","place1","place2","dist","turn","weight_lv","seven","day","pilotID","tug1","tug2","tug3","tug.cnt"
"11655","374644",5,2017-04-05 12:15:00,2017-04-05 04:20:00,2017-04-05 04:00:00,5.90282105943389,"3","1",NA,"4031",4619.12962920096,-1,1,0,0,"76","112",NA,NA,1
"11656","535729",35,2017-04-05 14:35:00,2017-04-05 07:10:00,2017-04-05 06:00:00,6,"1","1",NA,"1039",5090.6230628587,0,1,0,1,"93","321","322",NA,2
"11657","601500",12,2017-04-05 15:18:00,2017-04-05 07:30:00,2017-04-05 06:30:00,7.79278065198022,"3","1",NA,"1045",3441.82289119184,0,1,0,1,"103","145",NA,NA,1
"11658","344567",27,2017-04-05 15:13:00,2017-04-05 07:40:00,2017-04-05 07:00:00,27.5753005990025,"1","1",NA,"1055",7173.13113770984,0,1,1,1,"67","112",NA,NA,1
"11659","503436",34,2017-04-05 15:16:00,2017-04-05 07:50:00,2017-04-05 07:00:00,43.1839212760963,"1","1",NA,"1056",7367.24978716397,0,1,1,1,"74","451",NA,NA,1
"11660","535869",50,2017-04-05 17:00:00,2017-04-05 09:50:00,2017-04-05 08:00:00,15.5835223258174,"1","2",NA,"4053",6505.68023817256,-1,8,0,1,"93","163","451",NA,2
"11661","702501",27,2017-04-05 17:03:00,2017-04-05 09:30:00,2017-04-05 08:30:00,29.6998354511628,"1","1",NA,"1009",4928.65817151736,0,8,0,1,"99","321",NA,NA,1
"11662","512494",27,2017-04-05 20:03:00,2017-04-05 12:30:00,2017-04-05 11:30:00,28.2830665870421,"1","1",NA,"4049",6027.76506786373,-1,1,0,1,"76","112",NA,NA,1
"11663","378798",35,2017-04-05 18:15:00,2017-04-05 10:50:00,2017-04-05 09:30:00,33.6798190662952,"1","1",NA,"1057",7562.04078145344,0,1,0,1,"103","145",NA,NA,1
"11666","535907",15,2017-04-05 22:40:00,2017-04-05 14:55:00,2017-04-05 14:00:00,2.90921792323433,"3","2",NA,"1103",6748.58982624778,0,1,0,1,"72","165","171",NA,2
"11668","535907",15,2017-04-05 22:40:00,2017-04-05 14:55:00,2017-04-05 14:00:00,2.90921792323433,"3","2",NA,"1103",6748.58982624778,0,1,0,1,"72","165","171",NA,2
"11670","440590",48,2017-04-05 22:42:00,2017-04-05 15:30:00,2017-04-05 14:30:00,6.42504018575261,"2","1","1007","4051",2418.33755944547,-1,1,0,1,"100","143",NA,NA,1
"11671","440795",19,2017-04-05 11:11:00,2017-04-05 03:30:00,2017-04-05 02:00:00,27.3038697386037,"1","2",NA,"1078",4933.98778306777,0,1,0,0,"74","172",NA,NA,1
"11676","308684",51,2017-04-05 17:19:00,2017-04-05 10:10:00,2017-04-05 08:30:00,28.3477321814255,"1","1",NA,"1062",8293.25675090206,0,1,0,1,"67","104",NA,NA,1
"11685","535761",7,2017-04-05 15:48:00,2017-04-05 07:55:00,2017-04-05 07:00:00,4.20811644634498,"3","2",NA,"1104",4186.10735735725,0,1,1,1,"89","104","165",NA,2
"11694","362697",10,2017-04-06 20:10:00,2017-04-06 12:20:00,2017-04-06 11:30:00,26.2584459028977,"3","1",NA,"1048",3989.3286668792,0,1,0,1,"86","321","322",NA,2
"11696","530093",36,2017-04-06 16:19:00,2017-04-06 08:55:00,2017-04-06 07:00:00,15.7670962267231,"1","2",NA,"1075",5128.17639050448,1,8,1,1,"90","104",NA,NA,1
"11697","308684",85,2017-04-06 10:10:00,2017-04-06 03:35:00,2017-04-06 01:30:00,-0.00323974082073434,"2","1","1062","4032",2365.43523797959,-1,1,0,0,"93","171",NA,NA,1
"11698","702102",28,2017-04-06 15:22:00,2017-04-06 07:50:00,2017-04-06 06:30:00,20.4317976096372,"1","1",NA,"1009",4928.65817151736,0,1,0,1,"48","322",NA,NA,1
"11699","935522",15,2017-04-06 23:35:00,2017-04-06 15:50:00,2017-04-06 15:00:00,14.1644482386609,"3","2",NA,"1103",6748.58982624778,0,1,0,1,"77","163","155",NA,2
"11702","527556",22,2017-04-06 19:18:00,2017-04-06 11:40:00,2017-04-06 10:30:00,3.33061709369396,"3","2",NA,"1101",4916.32423570064,0,6,0,1,"90","172","162","165",3
"11705","437573",40,2017-04-06 19:20:00,2017-04-06 12:00:00,2017-04-06 10:30:00,42.1239526658583,"1","1",NA,"1037",5495.72505149772,0,8,0,1,"88","112",NA,NA,1
"11711","935522",15,2017-04-06 23:35:00,2017-04-06 15:50:00,2017-04-06 15:00:00,14.1644482386609,"3","2",NA,"1103",6748.58982624778,0,1,0,1,"77","163","155",NA,2
"11715","400696",79,2017-04-06 22:51:00,2017-04-06 16:10:00,2017-04-06 14:00:00,18.0822743488121,"1","1",NA,"1027",7259.76499585991,0,6,0,1,"92","321",NA,NA,1
"11720","527556",22,2017-04-06 19:18:00,2017-04-06 11:40:00,2017-04-06 10:30:00,3.33061709369396,"3","2",NA,"1101",4916.32423570064,0,6,0,1,"90","172","162","165",3
"11726","317381",36,2017-04-06 15:29:00,2017-04-06 08:05:00,2017-04-06 06:00:00,15.8492359553492,"1","2",NA,"1074",5247.80073507149,0,1,0,1,"97","153","171",NA,2
"11728","334588",35,2017-04-06 14:45:00,2017-04-06 07:20:00,2017-04-06 06:30:00,6.20965597573583,"2","1","1027","4031",861.690534010128,-1,1,0,1,"101","145",NA,NA,1
"11729","535826",44,2017-04-06 15:06:00,2017-04-06 07:50:00,2017-04-06 06:00:00,28.3477321814255,"1","2",NA,"1122",4267.36237097407,0,1,0,1,"78","162","165",NA,2
"11730","535826",44,2017-04-06 15:06:00,2017-04-06 07:50:00,2017-04-06 06:00:00,28.3477321814255,"1","2",NA,"1122",4267.36237097407,0,1,0,1,"78","162","165",NA,2
"11737","507598",52,2017-04-06 20:53:00,2017-04-06 13:45:00,2017-04-06 11:30:00,27.3038697386037,"1","2",NA,"1097",6521.57211451525,0,1,0,1,"82","172","162","163",3
"11740","507598",67,2017-04-06 20:53:00,2017-04-06 14:00:00,2017-04-06 11:30:00,27.3038697386037,"1","2",NA,"1097",6521.57211451525,0,1,0,1,"82","172","162","163",3
"11744","527408",64,2017-04-06 14:16:00,2017-04-06 07:20:00,2017-04-06 05:00:00,12.1809200302766,"1","2",NA,"1104",6038.10735735725,1,8,0,0,"103","172","171",NA,2
"11745","535745",27,2017-04-06 15:43:00,2017-04-06 08:10:00,2017-04-06 07:00:00,28.3477321814255,"1","1",NA,"1033",6146.29259676066,0,1,1,1,"88","145",NA,NA,1
"11746","530131",32,2017-04-06 15:38:00,2017-04-06 08:10:00,2017-04-06 07:00:00,33.6798190662952,"1","1",NA,"1040",4888.14860473248,0,8,1,1,"82","112",NA,NA,1
"11748","382035",36,2017-04-06 18:04:00,2017-04-06 10:40:00,2017-04-06 09:00:00,28.3477321814255,"1","1",NA,"1005",4353.81728783218,0,8,0,1,"71","112","241",NA,2
